unix_time,EPOCH to date,rm3100_mag_x,rm3100_mag_y,rm3100_mag_z,rm3100_cycle_count,,Mag_x_scaled,Mag_y_scaled,Mag_z_scaled,Magnetic_field_magnitude (uT)
1763823609,11/22/2025 10:00:09,301,-3407,-2224,200,,4.013333333,-45.42666667,-29.65333333,54.39677441
1763823614,11/22/2025 10:00:14,-1580,-3657,286,200,,-21.06666667,-48.76,3.813333333,53.25301452
1763823617,11/22/2025 10:00:17,-638,-3419,-2092,200,,-8.506666667,-45.58666667,-27.89333333,54.11603829
1763823625,11/22/2025 10:00:25,1355,-3469,1438,200,,18.06666667,-46.25333333,19.17333333,53.22961582
1763823630,11/22/2025 10:00:30,-2457,-2843,1010,200,,-32.76,-37.90666667,13.46666667,51.87951512
1763823636,11/22/2025 10:00:36,1730,-3447,1095,200,,23.06666667,-45.96,14.6,53.45608208
1763823647,11/22/2025 10:00:47,-1328,-2841,2310,200,,-17.70666667,-37.88,30.8,51.93323064
1763823654,11/22/2025 10:00:54,28,-3191,-2511,200,,0.3733333333,-42.54666667,-33.48,54.14119155
1763823661,11/22/2025 10:01:01,-486,-3218,-2415,200,,-6.48,-42.90666667,-32.2,54.03528888
1763823666,11/22/2025 10:01:06,-1460,-3006,2020,200,,-19.46666667,-40.08,26.93333333,52.06497821
